name,type,location_city,location_department,area_ha,price_per_ha,transaction_type,soil_type,water_source,altitude,image_url,polygon_data,is_listed,current_valuation,source_note
Predio El Paraiso,Agrícola,Rincon,Colombia,1,0,Venta,"Citricos, Mandarina, Platano",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Citricos, Mandarina, Platano. Usuarios fuente: Usuario Numero 83, Usuario Numero 84, Usuario Numero 85. Secuencias: 83, 84, 85."
Predio San Jose,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 87, Usuario Numero 88, Usuario Numero 89. Secuencias: 87, 88, 89."
Predio La Floresta,Agrícola,Rincon,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 90. Secuencias: 90.
Predio La Pizarra,Agrícola,Rincon,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 91. Secuencias: 91.
Predio La Caseta,Agrícola,Rincon,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 92. Secuencias: 92.
Predio Iroba,Agrícola,Iroba,Colombia,1,0,Venta,Bijao,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Bijao. Usuarios fuente: Usuario Numero 93. Secuencias: 93.
Predio Las Iglesisas,Agrícola,Semisa,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 94. Secuencias: 94.
Predio Chaseal,Agrícola,Alto San Dimas,Colombia,1,0,Venta,Aguacate Hass,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Aguacate Hass. Usuarios fuente: Usuario Numero 95. Secuencias: 95.
Predio El Resplandor,Agrícola,Alto Semisa,Colombia,1,0,Venta,Pastas,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Pastas. Usuarios fuente: Usuario Numero 96. Secuencias: 96.
Predio Santillana,Agrícola,Alto Semisa,Colombia,1,0,Venta,"Camuros-Pastos, Guayaba",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Camuros-Pastos, Guayaba. Usuarios fuente: Usuario Numero 97, Usuario Numero 98, Usuario Numero 99. Secuencias: 97, 98, 99."
